Temperature (K),B2V (Hard Sphere (Å^3/mol)),B2V (Square Well(Å^3/mol)),B2V (Lennard-Jones(Å^3/mol))
100.0,4.938359897252319e+25,-2.084603724004749e+26,-1.609885313789453e+26
101.0,4.938359897252319e+25,-2.0417055191784108e+26,-1.5823445147991453e+26
102.0,4.938359897252319e+25,-2.000124253562431e+26,-1.5555334823680406e+26
103.0,4.938359897252319e+25,-1.9598027206703954e+26,-1.5294239773000104e+26
104.0,4.938359897252319e+25,-1.920686879258099e+26,-1.5039891864822403e+26
105.0,4.938359897252319e+25,-1.8827256425165304e+26,-1.4792036346763292e+26
106.0,4.938359897252319e+25,-1.8458706835768315e+26,-1.4550431027296404e+26
107.0,4.938359897252319e+25,-1.81007625589595e+26,-1.431484551671912e+26
108.0,4.938359897252319e+25,-1.7752990272315816e+26,-1.408506052212179e+26
109.0,4.938359897252319e+25,-1.741497926039926e+26,-1.3860867191958972e+26
110.0,4.938359897252319e+25,-1.708633999241339e+26,-1.3642066506224653e+26
111.0,4.938359897252319e+25,-1.6766702803988758e+26,-1.3428468708594907e+26
112.0,4.938359897252319e+25,-1.6455716674441466e+26,-1.3219892777227486e+26
113.0,4.938359897252319e+25,-1.6153048091651708e+26,-1.3016165931201226e+26
114.0,4.938359897252319e+25,-1.585837999742988e+26,-1.2817123169842513e+26
115.0,4.938359897252319e+25,-1.5571410806885392e+26,-1.262260684242546e+26
116.0,4.938359897252319e+25,-1.5291853495896723e+26,-1.2432466245947956e+26
117.0,4.938359897252319e+25,-1.5019434751306362e+26,-1.224655724888165e+26
118.0,4.938359897252319e+25,-1.4753894178938293e+26,-1.2064741938970497e+26
119.0,4.938359897252319e+25,-1.4494983564963497e+26,-1.1886888293313354e+26
120.0,4.938359897252319e+25,-1.4242466186525717e+26,-1.1712869869111746e+26
121.0,4.938359897252319e+25,-1.3996116167889562e+26,-1.154256551359602e+26
122.0,4.938359897252319e+25,-1.3755717878690127e+26,-1.137585909176384e+26
123.0,4.938359897252319e+25,-1.3521065371150248e+26,-1.1212639230674291e+26
124.0,4.938359897252319e+25,-1.3291961853392766e+26,-1.1052799079140742e+26
125.0,4.938359897252319e+25,-1.3068219196211282e+26,-1.0896236081756698e+26
126.0,4.938359897252319e+25,-1.2849657470878895e+26,-1.0742851766271921e+26
127.0,4.938359897252319e+25,-1.2636104515769627e+26,-1.0592551543411953e+26
128.0,4.938359897252319e+25,-1.2427395529746168e+26,-1.0445244518303688e+26
129.0,4.938359897252319e+25,-1.2223372690429906e+26,-1.0300843312733044e+26
130.0,4.938359897252319e+25,-1.2023884795617656e+26,-1.0159263897518961e+26
131.0,4.938359897252319e+25,-1.1828786926245099e+26,-1.0020425434341416e+26
132.0,4.938359897252319e+25,-1.1637940129420427e+26,-9.884250126409664e+25
133.0,4.938359897252319e+25,-1.1451211120165368e+26,-9.750663077402376e+25
134.0,4.938359897252319e+25,-1.126847200060404e+26,-9.619592158152023e+25
135.0,4.938359897252319e+25,-1.1089599995435203e+26,-9.490967880584211e+25
136.0,4.938359897252319e+25,-1.0914477202610466e+26,-9.364723278457301e+25
137.0,4.938359897252319e+25,-1.0742990358220945e+26,-9.240793794479906e+25
138.0,4.938359897252319e+25,-1.0575030614668006e+26,-9.11911717341345e+25
139.0,4.938359897252319e+25,-1.0410493331261357e+26,-8.999633360794273e+25
140.0,4.938359897252319e+25,-1.0249277876449397e+26,-8.882284406934927e+25
141.0,4.938359897252319e+25,-1.0091287440943943e+26,-8.767014375887591e+25
142.0,4.938359897252319e+25,-9.936428861053978e+25,-8.653769259074114e+25
143.0,4.938359897252319e+25,-9.784612451591003e+25,-8.542496893306891e+25
144.0,4.938359897252319e+25,-9.635751847753812e+25,-8.433146882943387e+25
145.0,4.938359897252319e+25,-9.48976385544108e+25,-8.325670525933972e+25
146.0,4.938359897252319e+25,-9.346568309478333e+25,-8.220020743538515e+25
147.0,4.938359897252319e+25,-9.206087939281104e+25,-8.116152013502083e+25
148.0,4.938359897252319e+25,-9.068248241508288e+25,-8.014020306493138e+25
149.0,4.938359897252319e+25,-8.93297735928971e+25,-7.913583025620762e+25
150.0,4.938359897252319e+25,-8.80020596764e+25,-7.814798948858754e+25
151.0,4.938359897252319e+25,-8.669867164696121e+25,-7.717628174215408e+25
152.0,4.938359897252319e+25,-8.541896368440117e+25,-7.622032067498077e+25
153.0,4.938359897252319e+25,-8.41623121859053e+25,-7.527973212530565e+25
154.0,4.938359897252319e+25,-8.292811483366548e+25,-7.435415363690707e+25
155.0,4.938359897252319e+25,-8.171578970847874e+25,-7.344323400643161e+25
156.0,4.938359897252319e+25,-8.052477444671116e+25,-7.254663285150306e+25
157.0,4.938359897252319e+25,-7.93545254381977e+25,-7.166402019851112e+25
158.0,4.938359897252319e+25,-7.820451706280283e+25,-7.079507608904403e+25
159.0,4.938359897252319e+25,-7.70742409635087e+25,-6.99394902039922e+25
160.0,4.938359897252319e+25,-7.59632053540283e+25,-6.909696150440722e+25
161.0,4.938359897252319e+25,-7.487093435906666e+25,-6.826719788825169e+25
162.0,4.938359897252319e+25,-7.379696738546699e+25,-6.7449915862230465e+25
163.0,4.938359897252319e+25,-7.2740858522584185e+25,-6.66448402279364e+25
164.0,4.938359897252319e+25,-7.1702175970330704e+25,-6.585170378158954e+25
165.0,4.938359897252319e+25,-7.068050149343064e+25,-6.507024702669016e+25
166.0,4.938359897252319e+25,-6.967542990050648e+25,-6.430021789894333e+25
167.0,4.938359897252319e+25,-6.868656854670254e+25,-6.3541371502850374e+25
168.0,4.938359897252319e+25,-6.771353685862734e+25,-6.279346985939427e+25
169.0,4.938359897252319e+25,-6.6755965880465834e+25,-6.205628166428047e+25
170.0,4.938359897252319e+25,-6.581349784018009e+25,-6.132958205622117e+25
171.0,4.938359897252319e+25,-6.488578573477925e+25,-6.0613152394782625e+25
172.0,4.938359897252319e+25,-6.397249293369727e+25,-5.990678004733754e+25
173.0,4.938359897252319e+25,-6.30732927993719e+25,-5.921025818469263e+25
174.0,4.938359897252319e+25,-6.218786832416878e+25,-5.8523385584982e+25
175.0,4.938359897252319e+25,-6.131591178284341e+25,-5.7845966445440205e+25
176.0,4.938359897252319e+25,-6.045712439977783e+25,-5.717781020168926e+25
177.0,4.938359897252319e+25,-5.9611216030271635e+25,-5.651873135419183e+25
178.0,4.938359897252319e+25,-5.877790485520587e+25,-5.586854930154313e+25
179.0,4.938359897252319e+25,-5.795691708843559e+25,-5.522708818028881e+25
180.0,4.938359897252319e+25,-5.714798669630333e+25,-5.459417671097441e+25
181.0,4.938359897252319e+25,-5.635085512869538e+25,-5.396964805014491e+25
182.0,4.938359897252319e+25,-5.5565271061096974e+25,-5.335333964802932e+25
183.0,4.938359897252319e+25,-5.4790990147129395e+25,-5.274509311165704e+25
184.0,4.938359897252319e+25,-5.402777478107977e+25,-5.214475407316649e+25
185.0,4.938359897252319e+25,-5.327539386996078e+25,-5.155217206307813e+25
186.0,4.938359897252319e+25,-5.253362261466022e+25,-5.096720038831515e+25
187.0,4.938359897252319e+25,-5.180224229976527e+25,-5.03896960147662e+25
188.0,4.938359897252319e+25,-5.10810400916652e+25,-4.981951945419428e+25
189.0,4.938359897252319e+25,-5.036980884455895e+25,-4.925653465530614e+25
190.0,4.938359897252319e+25,-4.966834691401169e+25,-4.870060889880416e+25
191.0,4.938359897252319e+25,-4.897645797772257e+25,-4.815161269625313e+25
192.0,4.938359897252319e+25,-4.829395086318361e+25,-4.760941969260095e+25
193.0,4.938359897252319e+25,-4.762063938192514e+25,-4.707390657220028e+25
194.0,4.938359897252319e+25,-4.695634217005825e+25,-4.6544952968186154e+25
195.0,4.938359897252319e+25,-4.630088253483953e+25,-4.602244137507031e+25
196.0,4.938359897252319e+25,-4.565408830699685e+25,-4.550625706442023e+25
197.0,4.938359897252319e+25,-4.50157916985669e+25,-4.4996288003496884e+25
198.0,4.938359897252319e+25,-4.438582916600865e+25,-4.4492424776730985e+25
199.0,4.938359897252319e+25,-4.376404127836737e+25,-4.399456050992326e+25
200.0,4.938359897252319e+25,-4.315027259027456e+25,-4.350259079705849e+25
201.0,4.938359897252319e+25,-4.254437151958064e+25,-4.301641362963029e+25
202.0,4.938359897252319e+25,-4.194619022942521e+25,-4.253592932837567e+25
203.0,4.938359897252319e+25,-4.135558451456024e+25,-4.206104047732508e+25
204.0,4.938359897252319e+25,-4.077241369174976e+25,-4.159165186007614e+25
205.0,4.938359897252319e+25,-4.0196540494077805e+25,-4.11276703982054e+25
