,U (iso),U (SOC),U (SOC+CFS),F (iso),F (SOC),F (SOC+CFS),S (iso),S (SOC),S (SOC+CFS)
300.0,0.0,1.6089359591435563e-24,1.0673375654108039e-22,-1.093083558922793e-20,-7.421481990161481e-21,-5.762022079133032e-21,3.6436118630759805e-23,2.474363642040215e-23,1.9562519452247024e-23
317.17171717171715,-0.0,2.23585046148313e-24,1.2215763356770148e-22,-1.1556506313190472e-20,-7.846372716572426e-21,-6.097944130333233e-21,3.6436118630759776e-23,2.4745511481904562e-23,1.960865128987953e-23
334.34343434343435,-0.0,3.748483745482471e-24,1.5353182040255362e-22,-1.2182177037153014e-20,-8.271327839034971e-21,-6.435450507270309e-21,3.643611863075973e-23,2.475008945629462e-23,1.9704666142424786e-23
351.5151515151515,-2.407412430484045e-35,5.9819242912234125e-24,1.889996353815789e-22,-1.2807847761115554e-20,-8.696375788808809e-21,-6.774670038254893e-21,3.6436118630759776e-23,2.4756524948616855e-23,1.9807836472807814e-23
368.6868686868687,-0.0,9.147175933516384e-24,2.285659134581942e-22,-1.3433518485078097e-20,-9.121551928179387e-21,-7.115719638659668e-21,3.643611863075973e-23,2.476522641635771e-23,1.9917491625647624e-23
385.85858585858585,-2.407412430484045e-35,1.3476938770647647e-23,2.7222080992999366e-22,-1.4059189209040638e-20,-9.546898716239275e-21,-7.458705104186227e-21,3.643611863075973e-23,2.4776604557992852e-23,2.0033013197609927e-23
403.030303030303,-0.0,1.9220219202501633e-23,3.1994640963444724e-22,-1.4684859933003178e-20,-9.97246562007005e-21,-7.803722112112937e-21,3.6436118630759776e-23,2.4791058210750683e-23,2.015384296725328e-23
420.2020202020202,-2.407412430484045e-35,2.663646879324462e-23,3.7172119359590086e-22,-1.531053065696572e-20,-1.039830879620445e-20,-8.150857286899974e-21,3.6436118630759776e-23,2.4808962024759334e-23,2.0279483876974816e-23
437.3737373737374,-0.0,3.598963919324251e-23,4.275227197213873e-22,-1.5936201380928263e-20,-1.0824490578496129e-20,-8.500189235160558e-21,3.6436118630759776e-23,2.4830656399958326e-23,2.0409496586913556e-23
454.54545454545456,-0.0,4.754246561263793e-23,4.8732890790633085e-22,-1.6561872104890806e-20,-1.1251078813980798e-20,-8.85178949291519e-21,3.643611863075987e-23,2.4856439871364702e-23,2.0543493516039378e-23
