,Temperature (K),Internal Energy (U),Classical Partition (Cv)
0,10.0,4.5828214527069207e-20,-2.19936285384567e-21
1,20.0,2.3834585988612504e-20,-2.3860660192003998e-21
2,30.0,-1.893105856938791e-21,-1.4944743724673825e-21
3,40.0,-6.054901460735149e-21,-2.193276612870933e-22
4,50.0,-6.279659082680658e-21,1.369931335423536e-23
5,60.0,-5.780915193650442e-21,5.359613101204132e-23
6,70.0,-5.2077364624398315e-21,5.450394543845549e-23
7,80.0,-4.690836284881332e-21,4.7966607440684993e-23
8,90.0,-4.2484043136261315e-21,4.0867263196986374e-23
9,100.0,-3.873491020941605e-21,3.467583965786959e-23
10,110.0,-3.55488752046874e-21,2.956381478800311e-23
11,120.0,-3.2822147251815427e-21,2.5398558756443918e-23
12,130.0,-3.0469163453398614e-21,2.2001651263785153e-23
13,140.0,-2.8421816999058397e-21,1.921401011185306e-23
14,150.0,-2.6626361431028e-21,1.6907555530475393e-23
15,160.0,-2.504030589296332e-21,1.4982566380137175e-23
16,170.0,-2.3629848155000566e-21,1.3362125900995585e-23
17,180.0,-2.23678807127642e-21,1.1986861206799156e-23
18,190.0,-2.1232475913640735e-21,1.0810695451771717e-23
19,200.0,-2.0205741622409858e-21,9.797603367257477e-24
20,210.0,-1.927295524018924e-21,8.919184190127568e-24
21,220.0,-1.8421904784384344e-21,8.152856774545602e-24
22,230.0,-1.764238388528012e-21,7.480515751235992e-24
23,240.0,-1.6925801634137146e-21,6.887526112341009e-24
24,250.0,-1.6264878662811917e-21,6.3619659544024024e-24
25,260.0,-1.5653408443256665e-21,5.894051795389804e-24
26,270.0,-1.5086068303733957e-21,5.475698976395486e-24
27,280.0,-1.4558268647977568e-21,5.1001827006052565e-24
28,290.0,-1.4066031763612905e-21,4.7618746085965325e-24
29,300.0,-1.3605893726258262e-21,4.456036487734276e-24
30,310.0,-1.317482446606605e-21,4.178657530440587e-24
31,320.0,-1.2770162220170144e-21,3.926325038640626e-24
32,330.0,-1.2389559458337925e-21,3.696121005631839e-24
33,340.0,-1.2030938019043776e-21,3.4855388623072396e-24
34,350.0,-1.1692451685876477e-21,3.292416043966863e-24
35,360.0,-1.1372454810250404e-21,3.1148790517302918e-24
