,Temperature (K),Partition Function
0,10.0,2.2883899284046566e+37
1,20.0,8.278771617490597e+35
2,30.0,7.245311693238285e+35
3,40.0,1.0890913308348106e+36
4,50.0,1.7417301509886102e+36
5,60.0,2.704755226339553e+36
6,70.0,4.0240905092933e+36
7,80.0,5.751156999779791e+36
8,90.0,7.939185618450556e+36
9,100.0,1.0642148557214356e+37
10,110.0,1.3914372910326087e+37
11,120.0,1.7810377723245595e+37
12,130.0,2.2384796883293696e+37
13,140.0,2.7692339169146284e+37
14,150.0,3.3787765953805704e+37
15,160.0,4.072587794892147e+37
16,170.0,4.856150687795235e+37
17,180.0,5.734950998277586e+37
18,190.0,6.714476623600648e+37
19,200.0,7.800217362283142e+37
20,210.0,8.997664711842315e+37
21,220.0,1.0312311713300754e+38
22,230.0,1.17496528281073e+38
23,240.0,1.3315183838165874e+38
24,250.0,1.5014401762772888e+38
25,260.0,1.6852804788230311e+38
26,270.0,1.8835892207176438e+38
27,280.0,2.0969164365523154e+38
28,290.0,2.32581226154617e+38
29,300.0,2.570826927339579e+38
30,310.0,2.8325107581939067e+38
31,320.0,3.1114141675315274e+38
32,330.0,3.408087654764321e+38
33,340.0,3.7230818023697786e+38
34,350.0,4.0569472731817565e+38
35,360.0,4.4102348078691685e+38
36,370.0,4.7834952225806556e+38
37,380.0,5.177279406736763e+38
38,390.0,5.592138320954332e+38
39,400.0,6.02862299508995e+38
40,410.0,6.487284526391289e+38
41,420.0,6.968674077746574e+38
42,430.0,7.473342876023841e+38
43,440.0,8.001842210492527e+38
44,450.0,8.554723431320953e+38
45,460.0,9.132537948143927e+38
46,470.0,9.735837228695195e+38
47,480.0,1.0365172797500397e+39
48,490.0,1.1021096234626167e+39
49,500.0,1.1704159174481692e+39
50,510.0,1.2414913304669452e+39
51,520.0,1.3153910364881903e+39
52,530.0,1.3921702145841434e+39
53,540.0,1.4718840488280882e+39
54,550.0,1.5545877281962457e+39
55,560.0,1.6403364464732716e+39
56,570.0,1.7291854021611563e+39
57,580.0,1.8211897983913677e+39
58,590.0,1.9164048428400403e+39
59,600.0,2.0148857476460618e+39
60,610.0,2.1166877293319184e+39
61,620.0,2.2218660087271274e+39
62,630.0,2.330475810894194e+39
63,640.0,2.4425723650568896e+39
64,650.0,2.55821090453082e+39
65,660.0,2.6774466666561143e+39
66,670.0,2.80033489273218e+39
67,680.0,2.9269308279544096e+39
68,690.0,3.057289721352765e+39
69,700.0,3.191466825732141e+39
70,710.0,3.329517397614453e+39
71,720.0,3.4714966971823534e+39
72,730.0,3.617459988224543e+39
73,740.0,3.767462538082562e+39
74,750.0,3.921559617599047e+39
75,760.0,4.079806501067379e+39
76,770.0,4.242258466182636e+39
77,780.0,4.4089707939938946e+39
78,790.0,4.5799987688576723e+39
79,800.0,4.755397678392654e+39
80,810.0,4.9352228134354794e+39
81,820.0,5.119529467997704e+39
82,830.0,5.308372939223736e+39
83,840.0,5.501808527349892e+39
84,850.0,5.69989153566436e+39
85,860.0,5.902677270468153e+39
86,870.0,6.110221041036978e+39
87,880.0,6.322578159583978e+39
88,890.0,6.539803941223353e+39
89,900.0,6.761953703934766e+39
90,910.0,6.989082768528629e+39
91,920.0,7.221246458612063e+39
92,930.0,7.4585001005557e+39
93,940.0,7.70089902346112e+39
94,950.0,7.948498559129098e+39
95,960.0,8.20135404202844e+39
96,970.0,8.459520809265483e+39
97,980.0,8.723054200554324e+39
98,990.0,8.992009558187547e+39
99,1000.0,9.266442227007633e+39
